"variable","naive_coefs","lasso2_coefs","r2"
"POSTED_SPEED_LIMIT",-0.0271370037224651,-0.0235509160829197,0.305384570247255
"TRAFFIC_CONTROL_DEVICEDELINEATORS",-0.672851550495739,0,0.971515646262195
"TRAFFIC_CONTROL_DEVICELANE USE MARKING",-0.320297298961608,0,0.987210077754258
"TRAFFIC_CONTROL_DEVICENO CONTROLS",-0.0266069208410257,0,0.996920079551262
"TRAFFIC_CONTROL_DEVICEOTHER REG. SIGN",0.00962498985258898,0,0.982233406382931
"TRAFFIC_CONTROL_DEVICETRAFFIC SIGNAL",0.16593196334369,0,0.998793160939992
"TRAFFIC_CONTROL_DEVICEUNKNOWN",0.136253719460873,0,0.988308368679683
"DEVICE_CONDITIONMISSING",-0.219551441455354,0,0.247842533425818
"DEVICE_CONDITIONNOT FUNCTIONING",-0.0158824399511608,0,0.538511300726802
"DEVICE_CONDITIONOTHER",-0.0330723180319257,0,0.801039930500132
"DEVICE_CONDITIONUNKNOWN",0.019108774362106,0,0.947033276036707
"WEATHER_CONDITIONCLOUDY/OVERCAST",-0.0576597626794792,0,0.999635400080313
"WEATHER_CONDITIONFREEZING RAIN/DRIZZLE",-0.0348042050499992,0,0.996410267138437
"WEATHER_CONDITIONOTHER",-0.231089683208454,0,0.997419043358649
"WEATHER_CONDITIONSLEET/HAIL",-0.0835965895512377,0,0.994308930487646
"LIGHTING_CONDITIONDARKNESS, LIGHTED ROAD",-0.241639655553036,-0.157028898703722,0.780972986112102
"LIGHTING_CONDITIONDAWN",-0.00481211706159531,0,0.555515034104922
"LIGHTING_CONDITIONDAYLIGHT",0.137975084789432,0,0.905167386868801
"LIGHTING_CONDITIONUNKNOWN",0.109863841630972,0.043296157861225,0.806523812389535
"FIRST_CRASH_TYPEANIMAL",0.0753744290307493,0,0.85509473827267
"FIRST_CRASH_TYPEFIXED OBJECT",-1.87174231070117,-0.314544715433854,0.922299601692954
"FIRST_CRASH_TYPEHEAD ON",-0.624749601805414,-0.603731351306075,0.271190228415531
"FIRST_CRASH_TYPEOTHER NONCOLLISION",-1.41278931251698,0,0.882826442831972
"FIRST_CRASH_TYPEOTHER OBJECT",-1.23018063058557,-0.150916375382939,0.836259524797291
"FIRST_CRASH_TYPEOVERTURNED",-3.41049176674524,0,0.884841093786002
"FIRST_CRASH_TYPEPARKED MOTOR VEHICLE",0.573369872547308,0.336678938413908,0.845978884210367
"FIRST_CRASH_TYPEPEDALCYCLIST",-1.7534568536678,-1.63455960421328,0.342545562993314
"FIRST_CRASH_TYPEPEDESTRIAN",-2.95730447888777,-2.89325425779577,0.305166385879873
