CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,Report_vs_Police_Notified,Crash_Year,Police_district
32843fe4b95cd2307a089f024d0c17f4404e4f44743979d2203fe34eb79a7521b118ad38be4e9919d142ade403a7518e7ed296e8c8e7011725719e6be28a6d2e,N,2021-07-23 18:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,TURNING,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,Y,"OVER $1,500",2021-07-23 19:15:00,IMPROPER BACKING,NOT APPLICABLE,4350,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,18,6,7,41.961271889,-87.669393846,0.75,2021,District 19
33beb24f8d3a7cc4d5564f2e0ebb320a53dc2dcf77035c1afb3828ebf313995461d4664da9987ae3979d2ebe8e23fef987d337beb3791d87c344f41177a2c57e,N,2017-04-04 21:45:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN BARRIER,WIDE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,"OVER $1,500",2017-04-04 21:49:00,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,4499,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,21,3,4,41.963325894,-87.669153502,0.0666666666666666,2017,District 19
3a062275335a23bd1734a67caa1817a79328a45ed7215b533e8a886f7cb815cf2729ecf923ceac6d8680f5c878bd9566486e67d8633df7d17ec19727429d78f8,N,2022-12-04 00:15:00,30,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,T-INTERSECTION,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,N,N,"OVER $1,500",2022-12-04 00:18:00,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,4500,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0,1,12,41.963503291,-87.669452799,0.05,2022,District 19
3ca4caba935a3f12c66ae1b7c6f0bbfae4a3a7a0972b27845ccaaf94d489a6bc6c1667d53949d1e4c4552fd0411f13135b1210cad2c7c9619df8a2f1f1b698f4,N,2018-11-15 09:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),NOT_APPLICABLE,STRAIGHT AND LEVEL,WET,NO DEFECTS,NO_REPORT,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,"$501 - $1,500",2018-11-15 18:00:00,FAILING TO REDUCE SPEED TO AVOID CRASH,WEATHER,4399,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,9,5,11,41.961504045,-87.669107143,8.5,2018,District 19
4ff4e88bf2d1c4b1ef924d31060837fa03fdf85d8aae23a47358e8acef3e172c4d7d0a910bb1c9f0a40ca3deb08c5a53542b40a35076abdd574ed70f38291f57,N,2016-11-04 15:18:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,NARROW,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,$500 OR LESS,2016-11-04 16:19:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4399,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,15,6,11,41.961504045,-87.669107143,1.0166666666666666,2016,District 19
53663f7a6f211c492fd49ab741283d53bd1d474c2824e780471a0a81f88b7bfe4865894cc6f2b862f19b13c9eb86bc502537e5ed0c92001181bc559e4a0d3b06,N,2020-09-14 14:50:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,"$501 - $1,500",2020-09-14 14:52:00,UNABLE TO DETERMINE,NOT APPLICABLE,4600,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,14,2,9,41.965322383,-87.669496825,0.0333333333333333,2020,District 19
56d057d621eb8184f57b1aff6f313d42c963a5357aca361eae07bf6ec2f52689ee70121a4ff5a9b0a6f3299ad025fff62f4549b9452d5c296dda348b96b2f832,N,2016-08-21 16:58:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),WIDE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,"$501 - $1,500",2016-08-21 18:15:00,FOLLOWING TOO CLOSELY,NOT APPLICABLE,4426,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,16,1,8,41.96241655,-87.669427236,1.2833333333333334,2016,District 19
5ac2f4c420feea178d33ad95170e595ecd79b6c527d01950acfed006a5f2a60b1666245a20053ca27677a0b926b39de68ff1b71d2616181dfe984ae0e517113f,N,2022-03-19 11:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,"OVER $1,500",2022-03-19 11:15:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4600,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,11,7,3,41.965322383,-87.669496825,0.25,2022,District 19
5b590312081ff1791e2f61b4d1d9b073e263b425b518d84bd8b5d0ba691fdff2a554ce4668f3121c2775e35a1e274d97a9dc0776f1fabe84da439551eea5c2c0,N,2018-09-24 16:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,WIDE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,$500 OR LESS,2018-09-24 16:05:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4401,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,2.0,16,2,9,41.96168629,-87.669115155,0.0833333333333333,2018,District 19
5ba513f368a8b144af6bdaadf06cda82afaa9a26f64c3e43e0e339321979c204b84aabc34eb49339888b4694182320e9430a5a06885c21bda16c38b40dd29bf4,N,2017-09-25 14:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),WIDE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,N,Y,"$501 - $1,500",2017-09-25 14:10:00,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,4600,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,14,2,9,41.965322383,-87.669496825,0.1666666666666666,2017,District 19
5e1060762e33b106767096c895131ba54138db58fbeaaad86bc16d83567b459e4b97b42613ee45eb1f85305885790222a2663a0d4bcc4defadefe03811998a18,N,2020-07-20 21:05:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,"OVER $1,500",2020-07-20 21:09:00,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4500,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NONINCAPACITATING INJURY,2.0,0.0,0.0,1.0,1.0,3.0,21,2,7,41.963503291,-87.669452799,0.0666666666666666,2020,District 19
