,FATAL,INCAPACITATING INJURY,NO INDICATION OF INJURY,NONINCAPACITATING INJURY,"REPORTED, NOT EVIDENT"
TRAFFIC_CONTROL_DEVICE[T.YIELD],-0.0001278260300414637,.,0.0004800752063049222,-0.00041049038600282997,0.00015190657875144872
DEVICE_CONDITION[T.FUNCTIONING PROPERLY],-0.0386046207757819,-0.029549673056710104,0.09370719798596974,-0.01739863726764665,-0.010254094414609519
DEVICE_CONDITION[T.MISSING],.,-0.00017336703130844578,0.0001589961167326309,.,.
DEVICE_CONDITION[T.NO CONTROLS],-0.016202601266982874,-0.04004800088588836,0.2366537540543847,0.0025031110900841863,0.0014864162401542283
DEVICE_CONDITION[T.NOT FUNCTIONING],-0.00015887274498946075,0.0002697974778590814,0.0012593104211311209,-0.0014337776134943135,.
DEVICE_CONDITION[T.OTHER],-0.0005593561145006847,-0.000642241391331665,0.005555781777806823,-0.0019026242972189306,-0.0016928005847908609
DEVICE_CONDITION[T.UNKNOWN],-0.008013456487402641,-0.009003066455930294,0.043067811885032524,-0.007923437027080399,-0.009126740328718123
DEVICE_CONDITION[T.WORN REFLECTIVE MATERIAL],.,-0.00022340534049934032,0.000277472568580661,.,.
WEATHER_CONDITION[T.BLOWING SNOW],0.00016624258040833482,-0.00022070172936873396,0.00028370572041768,.,-0.0002039125564825037
WEATHER_CONDITION[T.CLEAR],-0.04647869566707807,-0.019160395967886844,0.1110457526184448,-0.0022295138525741053,-0.014278610337197793
WEATHER_CONDITION[T.CLOUDY/OVERCAST],-0.0028526491553457307,-0.005637003999103189,0.010150148509474264,-0.0009638170810853483,0.00015843133785782866
WEATHER_CONDITION[T.FOG/SMOKE/HAZE],.,-0.0007920637386825718,0.0005758815949253346,0.00020603996808100933,.
WEATHER_CONDITION[T.FREEZING RAIN/DRIZZLE],-0.00020867976064643584,-0.0005882627529450021,0.0013407036430716707,-0.0005663760115207329,0.00017067473560203715
WEATHER_CONDITION[T.OTHER],-0.0003274880047654414,-0.0004382946704337186,0.001024528518704394,-0.0008496361704615534,0.0006370152341421186
WEATHER_CONDITION[T.RAIN],-0.0072961813305578525,-0.019487634982347377,0.03323965805423861,-0.004174040060116701,0.0018653839435796946
WEATHER_CONDITION[T.SEVERE CROSS WIND GATE],0.00011912901314909999,.,0.00011373936577295175,.,.
WEATHER_CONDITION[T.SLEET/HAIL],-0.0003022709047572394,-0.0006684681508857941,0.0007845521910449509,0.00013871809805258363,0.00010067620934643507
WEATHER_CONDITION[T.SNOW],-0.0028965075887417064,-0.011587710938457197,0.02666289812593917,-0.008198889090062222,0.00015459923037745081
WEATHER_CONDITION[T.UNKNOWN],-0.0042805552897987745,-0.012310375571878994,0.041102445162146735,-0.00919490497201416,-0.004491545816267709
"LIGHTING_CONDITION[T.DARKNESS, LIGHTED ROAD]",0.024239471888916373,-0.009429492528745495,0.075761476501813,-0.03202831181737066,-0.056643475018926845
LIGHTING_CONDITION[T.DAWN],-0.0017815801217866878,-0.0023113175195856196,0.008974715160600086,-0.0005448968800118957,-0.0030696231009513593
LIGHTING_CONDITION[T.DAYLIGHT],-0.08429844746850544,-0.04838653913136449,0.05242846896829142,0.014830731030040921,0.059902157846092596
LIGHTING_CONDITION[T.DUSK],-0.0006851651593488981,-0.00144215348527335,0.0030094732730173482,-0.0016946561374872088,0.0008808365630787445
