,0
ALIGNMENT[T.STRAIGHT ON HILLCREST],0.006635750925062504
ROADWAY_SURFACE_COND[T.ICE],0.0036324300377143875
ROADWAY_SURFACE_COND[T.OTHER],-0.004657788961546593
"ROADWAY_SURFACE_COND[T.SAND, MUD, DIRT]",-0.0003993506888800647
ROADWAY_SURFACE_COND[T.SNOW OR SLUSH],0.031094318880877776
ROADWAY_SURFACE_COND[T.UNKNOWN],0.00015481724341931513
ROADWAY_SURFACE_COND[T.WET],-0.02166034648222227
ROAD_DEFECT[T.NO DEFECTS],0.0003073822493991543
ROAD_DEFECT[T.OTHER],-0.004644965157334915
"ROAD_DEFECT[T.RUT, HOLES]",-0.017315537542368847
ROAD_DEFECT[T.SHOULDER DEFECT],-0.0013638821436608123
ROAD_DEFECT[T.UNKNOWN],0.00013133246966235304
ROAD_DEFECT[T.WORN SURFACE],-0.0006954065503338163
REPORT_TYPE[T.NOT ON SCENE (DESK REPORT)],0.853370747102943
REPORT_TYPE[T.NO_REPORT],-0.008822703160380058
REPORT_TYPE[T.ON SCENE],-0.24188343639817447
INTERSECTION_RELATED_I[T.Y],-0.1557461482993063
NOT_RIGHT_OF_WAY_I[T.Y],0.021218526180376774
HIT_AND_RUN_I[T.Y],0.15735139861523367
"DAMAGE[T.$501 - $1,500]",-0.23043495559056168
"DAMAGE[T.OVER $1,500]",-0.8096576101523185
PRIM_CONTRIBUTORY_CAUSE[T.BICYCLE ADVANCING LEGALLY ON RED LIGHT],0.011915508899845413
PRIM_CONTRIBUTORY_CAUSE[T.CELL PHONE USE OTHER THAN TEXTING],-0.016594168457252634
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING OTHER TRAFFIC SIGNS],-0.015112773862908248
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING ROAD MARKINGS],-7.701607291924281e-05
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING STOP SIGN],-0.03481834806951591
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING TRAFFIC SIGNALS],-0.08814104546485618
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING YIELD SIGN],0.002503523038965792
