,FATAL,INCAPACITATING INJURY,NO INDICATION OF INJURY,NONINCAPACITATING INJURY,"REPORTED, NOT EVIDENT"
FIRST_CRASH_TYPE[T.PEDESTRIAN],0.0,0.06701390628247969,-0.6203121795986899,0.0,-0.09514338854462798
FIRST_CRASH_TYPE[T.REAR END],0.0,-0.01450551608866029,0.015493544163434405,0.0,0.17102252521338668
FIRST_CRASH_TYPE[T.REAR TO FRONT],0.0,0.0,0.029179040447754025,0.0,0.0
FIRST_CRASH_TYPE[T.REAR TO REAR],0.0,0.0,0.0,0.0,0.0
FIRST_CRASH_TYPE[T.REAR TO SIDE],0.0,0.0,0.009385138017889162,0.0,0.0
FIRST_CRASH_TYPE[T.SIDESWIPE OPPOSITE DIRECTION],0.0,0.0,0.015880023697973818,0.0,0.0
FIRST_CRASH_TYPE[T.SIDESWIPE SAME DIRECTION],0.0,0.0,0.2817375583290955,-0.029875991952447743,0.0
FIRST_CRASH_TYPE[T.TRAIN],0.0,0.0,-0.0015863191931562142,0.0,0.0
FIRST_CRASH_TYPE[T.TURNING],0.0,0.0,0.03863784532912355,0.0,0.0
TRAFFICWAY_TYPE[T.CENTER TURN LANE],0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.DIVIDED - W/MEDIAN (NOT RAISED)],0.0,0.0,-0.016082305619489545,0.0,0.0
TRAFFICWAY_TYPE[T.DIVIDED - W/MEDIAN BARRIER],0.0,0.0,-0.024307054067008085,0.0,0.0
TRAFFICWAY_TYPE[T.DRIVEWAY],0.0,0.0,0.004098423483451979,0.0,0.0
"TRAFFICWAY_TYPE[T.FIVE POINT, OR MORE]",0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.FOUR WAY],0.0,0.0,-0.011821827965754596,0.019929189798402882,0.0
TRAFFICWAY_TYPE[T.L-INTERSECTION],0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.NOT DIVIDED],0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.NOT REPORTED],0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.ONE-WAY],0.0,0.0,0.0566678947874253,0.0,0.0
TRAFFICWAY_TYPE[T.OTHER],0.0,0.0,0.0,-0.0027303262540045886,0.0
TRAFFICWAY_TYPE[T.PARKING LOT],0.0,0.0,0.09299997622650526,0.0,0.0
TRAFFICWAY_TYPE[T.RAMP],0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.ROUNDABOUT],0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.T-INTERSECTION],0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.TRAFFIC ROUTE],0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.UNKNOWN],0.0,0.0,0.0,0.0,0.0
TRAFFICWAY_TYPE[T.UNKNOWN INTERSECTION TYPE],0.0,0.0,-0.0008335219499769321,0.0,0.0
TRAFFICWAY_TYPE[T.Y-INTERSECTION],0.0,0.0,0.0,0.0,0.0
LANE_CNT[T.NARROW],0.0,0.0,0.006339522052475334,0.0,0.0
LANE_CNT[T.NOT_APPLICABLE],0.0,0.0,0.0,0.0,0.0
LANE_CNT[T.WIDE],0.0,0.0,0.0,0.0,0.0
ALIGNMENT[T.CURVE ON HILLCREST],0.0,0.0,0.0,0.0,0.0
"ALIGNMENT[T.CURVE, LEVEL]",0.0,0.0,0.0,0.0,0.0
ALIGNMENT[T.STRAIGHT AND LEVEL],0.0,0.0,0.009348286151056557,0.0,0.0
ALIGNMENT[T.STRAIGHT ON GRADE],0.0,0.0,0.0,0.0,0.0
ALIGNMENT[T.STRAIGHT ON HILLCREST],0.0,0.0,0.0,0.0,0.0
